engine,fold,train_end,horizon_start,horizon_end,mae,rmse,mape,coverage_80,mean_interval_width,n
gbdt_calendar_only,3,2011-01-25,2011-01-26,2011-02-22,2955.8628646494194,3779.6430496359876,47.183042954938884,1.0,28628.533447877653,28
gbdt_calendar_only,4,2011-02-22,2011-02-23,2011-03-22,5834.640772909609,7043.661958051022,63.918893933794074,1.0,18267.112680398805,28
gbdt_calendar_only,5,2011-03-22,2011-03-23,2011-04-19,3112.059979577284,5026.024433254545,27.086230414388073,0.8571428571428571,17004.06798521047,28
gbdt_calendar_only,6,2011-04-19,2011-04-20,2011-05-17,4960.574596340928,7358.80689635949,27.923862840827095,0.7857142857142857,17503.755468634725,28
gbdt_calendar_only,7,2011-05-17,2011-05-18,2011-06-14,3407.300443573321,4785.151687622609,27.990193481638094,0.9642857142857143,21015.70746481203,28
gbdt_calendar_only,8,2011-06-14,2011-06-15,2011-07-12,4162.974710295928,5480.514267385411,35.30150190174889,0.8928571428571429,17505.011688469916,28
gbdt_calendar_only,9,2011-07-12,2011-07-13,2011-08-09,4158.785958346419,7018.794778677858,27.96762715906202,0.8214285714285714,17806.911848476422,28
gbdt_calendar_only,10,2011-08-09,2011-08-10,2011-09-06,5289.327810918666,7744.033493707773,38.054366010523346,0.8928571428571429,20167.01466742176,28
gbdt_calendar_only,11,2011-09-06,2011-09-07,2011-10-04,4165.6315191183585,6894.326667211195,22.28947714985603,0.8928571428571429,27867.61522136575,28
gbdt_calendar_only,12,2011-10-04,2011-10-05,2011-11-01,5381.651526613204,7156.014680952181,33.51813725731428,0.8928571428571429,29247.78982536949,28
gbdt_calendar_only,13,2011-11-01,2011-11-02,2011-11-29,6172.929990145749,8197.516412382709,23.099808213963055,0.7857142857142857,30271.230543231934,28
seasonal_naive_7d,1,2010-11-30,2010-12-01,2010-12-28,13991.892857142857,17800.648919752497,128.7075058283837,0.6785714285714286,42985.317266504906,28
seasonal_naive_7d,2,2010-12-28,2010-12-29,2011-01-25,11460.642857142857,19450.7582757074,89.57438748652912,0.8928571428571429,42920.3909844719,28
seasonal_naive_7d,3,2011-01-25,2011-01-26,2011-02-22,3497.1785714285716,4596.786194878828,44.58032414875199,1.0,43302.54285487915,28
seasonal_naive_7d,4,2011-02-22,2011-02-23,2011-03-22,4577.892857142857,5957.336506359196,47.45249503765347,1.0,41999.25258491996,28
seasonal_naive_7d,5,2011-03-22,2011-03-23,2011-04-19,4512.035714285715,6616.108451024234,46.15393393654767,1.0,40851.73898023635,28
seasonal_naive_7d,6,2011-04-19,2011-04-20,2011-05-17,6918.142857142857,10863.548483016824,35.98487278716536,0.9285714285714286,39909.74283221382,28
seasonal_naive_7d,7,2011-05-17,2011-05-18,2011-06-14,7172.285714285715,9824.742926480498,58.63730086744893,0.8928571428571429,39215.32596873383,28
seasonal_naive_7d,8,2011-06-14,2011-06-15,2011-07-12,4406.25,5648.006845023169,46.69823953476698,1.0,38468.73349215591,28
seasonal_naive_7d,9,2011-07-12,2011-07-13,2011-08-09,4288.0,7190.241045035576,27.199915265903723,0.9642857142857143,37672.060638256735,28
seasonal_naive_7d,10,2011-08-09,2011-08-10,2011-09-06,5192.821428571428,7867.164603137343,38.03407279434655,0.9642857142857143,36964.20410272318,28
seasonal_naive_7d,11,2011-09-06,2011-09-07,2011-10-04,6093.071428571428,8880.071746010035,30.49710774300289,0.9285714285714286,36440.198979208144,28
seasonal_naive_7d,12,2011-10-04,2011-10-05,2011-11-01,4752.642857142857,6793.152592343053,22.585087821694074,0.9642857142857143,36002.50268466882,28
seasonal_naive_7d,13,2011-11-01,2011-11-02,2011-11-29,7366.892857142857,9978.80983634822,28.537105343573515,0.9285714285714286,35642.62190115698,28
last_value,1,2010-11-30,2010-12-01,2010-12-28,18154.321428571428,20254.278615887557,127.35403791673315,0.5714285714285714,45444.4370633505,28
last_value,2,2010-12-28,2010-12-29,2011-01-25,12089.42857142857,20017.046265977548,100.0,0.8571428571428571,44918.1354558267,28
last_value,3,2011-01-25,2011-01-26,2011-02-22,6998.178571428572,8560.00615612262,100.92938364651826,1.0,45425.56733041588,28
last_value,4,2011-02-22,2011-02-23,2011-03-22,11364.607142857143,12784.045303479981,121.04150384173964,1.0,44202.73167781921,28
last_value,5,2011-03-22,2011-03-23,2011-04-19,6768.178571428572,8841.250931611108,51.70647273978847,1.0,43156.01943775227,28
